Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
AAPL,Apple Inc,2.22741E+12,39.7,3.27,57411000000,1.28,0.82,0.63%
AMGN,Amgen Inc,1.32595E+11,13.8,16.43,7842000000,0.76,6.4,2.82%
AXP,American Express Company,95553320000,21.08,5.6,6759000000,1.36,1.72,1.46%
BA,Boeing Company,1.19471E+11,0,-10.21,-636000000,1.65,0,0.00%
CAT,Caterpillar Inc,99763904000,27.6,6.6,6093000000,0.97,4.12,2.26%
CRM,Salesforce.com Inc,2.02691E+11,84.09,2.62,126000000,1.17,0,0.00%
CSCO,Cisco Systems Inc,1.85838E+11,15.53,2.83,11214000000,0.95,1.44,3.28%
CVX,Chevron Corp,1.62457E+11,65.16,1.3,2924000000,1.33,5.16,6.09%
DIS,Walt Disney Company,3.23063E+11,88.4,2.01,-2864000000,1.2,0,0.00%
DOW,Dow Inc,41389764000,33.57,1.61,-1359000000,1.77,2.8,5.18%
GS,Goldman Sachs Group,93218336000,11.16,23.74,8466000000,1.5,5,1.89%
HD,Home Depot,2.8643E+11,22.83,11.56,11242000000,1.03,6,2.27%
HON,Honeywell International Inc,1.46273E+11,29.33,7.09,6143000000,1.13,3.72,1.79%
IBM,International Business Machines,1.12398E+11,10.96,11.31,9431000000,1.25,6.52,5.26%
INTC,Intel Corp,2.074E+11,9.35,5.31,21048000000,0.74,1.32,2.66%
JNJ,Johnson & Johnson,4.16837E+11,19.44,8.05,15119000000,0.7,4.04,2.58%
JPM,JP Morgan Chase & Company,3.83007E+11,16.45,7.65,36431000000,1.23,3.6,2.86%
KO,Coca-Cola Company,2.2424E+11,27.48,1.92,8920000000,0.58,1.64,3.11%
MCD,McDonald's Corp,1.57576E+11,33.26,6.32,6025400000,0.58,5.16,2.45%
MMM,3M Company,98971120000,20.66,8.32,4570000000,0.92,5.88,3.42%
MRK,Merck & Company,2.05186E+11,14.03,5.77,9843000000,0.43,2.6,3.21%
MSFT,Microsoft Corp,1.64743E+12,35.17,6.19,44281000000,0.83,2.24,1.03%
NKE,Nike Inc,2.21707E+11,70.05,2,2539000000,0.83,1.1,0.79%
PG,Procter & Gamble Company,3.43921E+11,25.62,5.38,13027000000,0.38,3.16,2.29%
TRV,The Travelers Companies Inc,34077660000,15.31,8.86,2622000000,0.77,3.4,2.51%
UNH,Unitedhealth Group Inc,3.27153E+11,19.15,18.25,13839000000,0.74,5,1.43%
V,Visa Inc,4.1799E+11,43.29,5.03,10866000000,0.96,1.28,0.59%
VZ,Verizon Communications Inc,2.4241E+11,12.21,4.82,19265000000,0.41,2.51,4.27%
WBA,Walgreens Boots Alliance,35558204000,8.73,4.74,456000000,0.55,1.87,4.52%
WMT,Wal-Mart Stores,4.12368E+11,26.84,5.46,14881000000,0.42,2.16,1.47%
